row_id,booking,arrival,resolved,lead_time,arrival_month,stays_in_weekend_nights,stays_in_week_nights,hotel,meal,market_segment,distribution_channel,reserved_room_type,customer_type,target
91,2015-07-02,2015-07-03,2015-07-04,1,7,0,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
120,2015-07-02,2015-07-04,2015-07-05,2,7,0,1,Resort Hotel,BB,Online TA,TA/TO,H,Transient,0
465,2015-07-02,2015-07-17,2015-07-06,15,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
472,2015-07-02,2015-07-17,2015-07-19,15,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
637,2015-07-02,2015-07-24,2015-07-26,22,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient-Party,0
638,2015-07-02,2015-07-24,2015-07-26,22,7,0,2,Resort Hotel,BB,Online TA,TA/TO,D,Transient-Party,0
642,2015-07-02,2015-07-24,2015-07-14,22,7,0,2,Resort Hotel,BB,Online TA,TA/TO,G,Transient,1
1250,2015-07-02,2015-08-21,2015-08-26,50,8,2,3,Resort Hotel,BB,Offline TA/TO,TA/TO,D,Transient,0
1482,2015-07-02,2015-08-31,2015-07-03,60,8,1,5,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
15558,2015-07-02,2015-07-24,2015-07-26,22,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
16174,2015-07-02,2015-08-10,2015-08-17,39,8,2,5,Resort Hotel,HB,Offline TA/TO,TA/TO,D,Transient,0
16436,2015-07-02,2015-08-23,2015-08-29,52,8,2,4,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
16658,2015-07-02,2015-08-30,2015-09-06,59,8,2,5,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
40118,2015-07-02,2015-07-08,2015-07-10,6,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40298,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40299,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40300,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40304,2015-07-02,2015-07-22,2015-07-17,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40312,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40320,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40326,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient,0
40328,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40331,2015-07-02,2015-07-22,2015-07-24,20,7,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40479,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40480,2015-07-02,2015-07-27,2015-07-22,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40485,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40493,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40494,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40495,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40499,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40502,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40514,2015-07-02,2015-07-27,2015-07-29,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40523,2015-07-02,2015-07-27,2015-07-22,25,7,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40649,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient,0
40650,2015-07-02,2015-08-05,2015-07-29,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40651,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40652,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40672,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40676,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient,0
40735,2015-07-02,2015-08-05,2015-08-07,34,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40765,2015-07-02,2015-08-07,2015-08-09,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40767,2015-07-02,2015-08-07,2015-07-31,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40772,2015-07-02,2015-08-07,2015-08-09,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40789,2015-07-02,2015-08-07,2015-08-09,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40798,2015-07-02,2015-08-07,2015-08-09,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40800,2015-07-02,2015-08-07,2015-08-09,36,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40943,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40944,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40945,2015-07-02,2015-08-10,2015-08-04,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40950,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40951,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40957,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40958,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40961,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40987,2015-07-02,2015-08-10,2015-08-12,39,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41087,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41091,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41092,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41093,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41098,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41100,2015-07-02,2015-08-12,2015-08-07,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
41122,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41469,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41472,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41475,2015-07-02,2015-08-17,2015-08-12,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
41476,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41477,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41479,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41482,2015-07-02,2015-08-17,2015-08-19,46,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41509,2015-07-02,2015-08-17,2015-08-21,46,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41555,2015-07-02,2015-08-18,2015-08-20,47,8,0,2,City Hotel,BB,Offline TA/TO,TA/TO,A,Transient-Party,0
41779,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41781,2015-07-02,2015-08-24,2015-08-19,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
41783,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41790,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41792,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41796,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41799,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41805,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41809,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41890,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41892,2015-07-02,2015-08-26,2015-08-24,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
41894,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41896,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41897,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41898,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41901,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41905,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41911,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41912,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41918,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41925,2015-07-02,2015-08-26,2015-08-28,55,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
76832,2015-07-02,2015-08-12,2015-08-14,41,8,0,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
76992,2015-07-02,2015-08-24,2015-08-26,53,8,1,1,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
129,2015-07-03,2015-07-04,2015-07-06,1,7,1,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
136,2015-07-03,2015-07-05,2015-07-06,2,7,1,0,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
137,2015-07-03,2015-07-05,2015-07-06,2,7,1,0,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
140,2015-07-03,2015-07-05,2015-07-06,2,7,1,0,Resort Hotel,BB,Direct,Direct,G,Transient,0
215,2015-07-03,2015-07-08,2015-07-12,5,7,0,4,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
300,2015-07-03,2015-07-11,2015-07-14,8,7,2,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
338,2015-07-03,2015-07-12,2015-07-15,9,7,2,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
436,2015-07-03,2015-07-16,2015-07-18,13,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
443,2015-07-03,2015-07-16,2015-07-18,13,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
1026,2015-07-03,2015-08-10,2015-07-14,38,8,2,5,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
1434,2015-07-03,2015-08-29,2015-08-30,57,8,0,1,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
1479,2015-07-03,2015-08-31,2015-09-04,59,8,1,3,Resort Hotel,HB,Offline TA/TO,TA/TO,D,Transient,0
15744,2015-07-03,2015-07-26,2015-08-01,23,7,2,4,Resort Hotel,BB,Offline TA/TO,TA/TO,E,Transient,0
16092,2015-07-03,2015-08-09,2015-08-15,37,8,2,4,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
16606,2015-07-03,2015-08-29,2015-09-04,57,8,2,4,Resort Hotel,BB,Offline TA/TO,TA/TO,D,Transient,0
40729,2015-07-03,2015-08-05,2015-07-16,33,8,0,4,City Hotel,BB,Online TA,TA/TO,B,Transient-Party,1
170,2015-07-04,2015-07-06,2015-07-07,2,7,1,0,Resort Hotel,BB,Direct,Direct,A,Transient,0
310,2015-07-04,2015-07-12,2015-07-18,8,7,2,4,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
345,2015-07-04,2015-07-12,2015-07-17,8,7,2,3,Resort Hotel,BB,Online TA,TA/TO,H,Transient,0
356,2015-07-04,2015-07-13,2015-07-15,9,7,1,1,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
451,2015-07-04,2015-07-16,2015-07-07,12,7,2,3,Resort Hotel,BB,Direct,Direct,E,Transient,1
501,2015-07-04,2015-07-17,2015-07-20,13,7,1,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
625,2015-07-04,2015-07-23,2015-07-07,19,7,0,3,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
628,2015-07-04,2015-07-23,2015-07-06,19,7,1,3,Resort Hotel,BB,Online TA,TA/TO,H,Transient,1
629,2015-07-04,2015-07-23,2015-07-07,19,7,1,3,Resort Hotel,BB,Direct,Direct,E,Transient,1
632,2015-07-04,2015-07-23,2015-07-06,19,7,1,3,Resort Hotel,BB,Online TA,TA/TO,D,Transient,1
1411,2015-07-04,2015-08-28,2015-07-06,55,8,0,2,Resort Hotel,HB,Online TA,TA/TO,A,Transient,1
14048,2015-07-04,2015-07-04,2015-07-05,0,7,0,1,Resort Hotel,BB,Direct,Direct,D,Transient,0
16082,2015-07-04,2015-08-09,2015-08-14,36,8,2,3,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
16404,2015-07-04,2015-08-22,2015-08-28,49,8,2,4,Resort Hotel,BB,Direct,Direct,D,Transient,0
16487,2015-07-04,2015-08-25,2015-08-31,52,8,1,5,Resort Hotel,BB,Online TA,TA/TO,E,Transient,0
134,2015-07-05,2015-07-05,2015-07-06,0,7,1,0,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
15304,2015-07-05,2015-07-05,2015-07-06,0,7,1,0,Resort Hotel,BB,Online TA,TA/TO,G,Group,0
400,2015-07-06,2015-07-14,2015-07-21,8,7,2,5,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
445,2015-07-06,2015-07-16,2015-07-19,10,7,0,3,Resort Hotel,BB,Direct,Direct,D,Transient,0
446,2015-07-06,2015-07-16,2015-07-13,10,7,0,3,Resort Hotel,BB,Direct,Direct,A,Transient,1
450,2015-07-06,2015-07-16,2015-07-21,10,7,2,3,Resort Hotel,BB,Direct,Direct,D,Transient-Party,0
452,2015-07-06,2015-07-16,2015-07-21,10,7,2,3,Resort Hotel,BB,Direct,Direct,D,Transient-Party,0
467,2015-07-06,2015-07-17,2015-07-19,11,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
567,2015-07-06,2015-07-20,2015-07-21,14,7,1,0,Resort Hotel,BB,Offline TA/TO,TA/TO,A,Transient,0
643,2015-07-06,2015-07-24,2015-07-26,18,7,0,2,Resort Hotel,BB,Direct,Direct,D,Transient,0
818,2015-07-06,2015-07-31,2015-07-06,25,7,0,1,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
824,2015-07-06,2015-07-31,2015-07-06,25,7,0,2,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
991,2015-07-06,2015-08-09,2015-08-13,34,8,2,2,Resort Hotel,BB,Online TA,TA/TO,D,Transient,0
1017,2015-07-06,2015-08-10,2015-08-16,35,8,1,5,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
1020,2015-07-06,2015-08-10,2015-08-16,35,8,1,5,Resort Hotel,BB,Online TA,TA/TO,F,Transient,0
1345,2015-07-06,2015-08-25,2015-08-10,50,8,0,5,Resort Hotel,HB,Online TA,TA/TO,A,Transient,1
1442,2015-07-06,2015-08-29,2015-08-03,54,8,2,4,Resort Hotel,BB,Online TA,TA/TO,A,Transient,1
15271,2015-07-06,2015-07-14,2015-07-15,8,7,0,1,Resort Hotel,BB,Corporate,Corporate,A,Transient,0
15403,2015-07-06,2015-07-12,2015-07-13,6,7,1,0,Resort Hotel,BB,Direct,Direct,A,Transient,0
15468,2015-07-06,2015-07-16,2015-07-19,10,7,0,3,Resort Hotel,BB,Direct,Direct,A,Transient,0
15797,2015-07-06,2015-07-31,2015-08-02,25,7,0,2,Resort Hotel,BB,Direct,Direct,B,Transient,0
15956,2015-07-06,2015-08-08,2015-08-09,33,8,0,1,Resort Hotel,HB,Direct,Direct,C,Transient,0
16061,2015-07-06,2015-08-09,2015-08-13,34,8,2,2,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
16064,2015-07-06,2015-08-10,2015-08-13,35,8,1,2,Resort Hotel,BB,Online TA,TA/TO,F,Transient,0
16093,2015-07-06,2015-08-08,2015-08-15,33,8,2,5,Resort Hotel,HB,Online TA,TA/TO,D,Transient,0
16095,2015-07-06,2015-08-09,2015-08-15,34,8,2,4,Resort Hotel,HB,Online TA,TA/TO,D,Transient,0
16146,2015-07-06,2015-08-13,2015-08-16,38,8,0,3,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
16434,2015-07-06,2015-08-22,2015-08-29,47,8,2,5,Resort Hotel,FB,Direct,Direct,A,Transient,0
16438,2015-07-06,2015-08-22,2015-08-29,47,8,2,5,Resort Hotel,BB,Offline TA/TO,TA/TO,D,Transient,0
16446,2015-07-06,2015-08-23,2015-08-30,48,8,2,5,Resort Hotel,HB,Online TA,TA/TO,A,Transient,0
16608,2015-07-06,2015-08-30,2015-09-04,55,8,2,3,Resort Hotel,BB,Online TA,TA/TO,A,Transient,0
40255,2015-07-06,2015-07-18,2015-07-22,12,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40257,2015-07-06,2015-07-18,2015-07-22,12,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40258,2015-07-06,2015-07-18,2015-07-18,12,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40264,2015-07-06,2015-07-18,2015-07-22,12,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40275,2015-07-06,2015-07-18,2015-07-22,12,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40286,2015-07-06,2015-07-18,2015-07-23,12,7,2,3,City Hotel,BB,Groups,TA/TO,A,Transient,0
40441,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40442,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40443,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40444,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40445,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40447,2015-07-06,2015-07-25,2015-07-22,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40451,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40458,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40459,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40465,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40468,2015-07-06,2015-07-25,2015-07-29,19,7,2,2,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40606,2015-07-06,2015-08-03,2015-07-31,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,1
40609,2015-07-06,2015-08-03,2015-08-07,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40622,2015-07-06,2015-08-03,2015-08-07,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient,0
40629,2015-07-06,2015-08-03,2015-08-07,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40634,2015-07-06,2015-08-03,2015-08-07,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
40640,2015-07-06,2015-08-03,2015-08-07,28,8,1,3,City Hotel,BB,Groups,TA/TO,A,Transient-Party,0
41165,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41167,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41168,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41169,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41170,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41171,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41172,2015-07-06,2015-08-14,2015-07-06,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,1
41181,2015-07-06,2015-08-14,2015-08-10,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,1
41182,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41188,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41192,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41236,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41244,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41257,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41300,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
41319,2015-07-06,2015-08-14,2015-08-16,39,8,0,2,City Hotel,HB,Offline TA/TO,TA/TO,A,Transient-Party,0
